referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.state,location.cc,location.distance,location.lng,location.lat,name,id,location.city,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.postalCode,allowMenuUrlEdit,venuePage.id,location.crossStreet,url
v-1462919100,0,1,1,false,United States,GA,US,20646,-84.37901835848079,33.85056067058221,Tescom USA,5112819fe4b07777a051398b,Atlanta,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,30305,,,7 Piedmont Center,
v-1462919100,0,1,1,false,United States,GA,US,13210,-84.37901835848079,33.85056067058221,Tescom USA,5112819fe4b07777a051398b,Atlanta,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,30305,,,7 Piedmont Center,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,1,1,false,United States,GA,US,5917,-84.37901835848079,33.85056067058221,Tescom USA,5112819fe4b07777a051398b,Atlanta,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,30305,,,7 Piedmont Center,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,7,641,false,United States,MA,US,48424,-71.4507644910715,42.686026659765936,Tesco Associates,4c10f9ac6b7e2d7f17702835,Tyngsboro,true,.png,https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_,Coworking Space,Coworking Spaces,Coworking Space,4bf58dd8d48988d174941735,01879,true,,,
v-1462919100,,0,0,false,United States,NH,US,84377,-70.926214,43.111588,Tesco,4f170a4ae4b0865b0d2c01e1,Durham,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735,03824,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,5,9,false,United States,AL,US,123401,-86.77274156514986,33.52691937488355,Besco Steel,4da31a4a0f578cfa971ab118,Birmingham,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,35222,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,7,641,false,United States,MA,US,39199,-71.4507644910715,42.686026659765936,Tesco Associates,4c10f9ac6b7e2d7f17702835,Tyngsboro,true,.png,https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_,Coworking Space,Coworking Spaces,Coworking Space,4bf58dd8d48988d174941735,01879,true,,,
v-1462919100,,0,0,false,United States,NH,US,86446,-70.926214,43.111588,Tesco,4f170a4ae4b0865b0d2c01e1,Durham,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735,03824,,,,
v-1462919100,0,9,30,false,United States,IL,US,117537,-88.32238162512421,42.07327735431098,CFM / VR - TESCO LLC.,4d97993461a3a1cdfae6b942,Elgin,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,60123,,,,
v-1462919100,,2,3,false,United States,Illinois,US,130025,-87.998277,41.914686,Tesco Construction, Inc,4e172d5845ddc623eb0ffd7c,,,,,,,,,,,,,
v-1462919100,1,4,144,true,United States,IN,US,90468,-86.26145124435425,39.88214499563943,TESCO,4e454c22cc3f08423c1284aa,Indianapolis,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,46278,,137845785,71st and Zionsville Road,
v-1462919100,0,7,641,false,United States,MA,US,12674,-71.4507644910715,42.686026659765936,Tesco Associates,4c10f9ac6b7e2d7f17702835,Tyngsboro,true,.png,https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_,Coworking Space,Coworking Spaces,Coworking Space,4bf58dd8d48988d174941735,01879,true,,,
v-1462919100,,0,0,false,United States,NH,US,58792,-70.926214,43.111588,Tesco,4f170a4ae4b0865b0d2c01e1,Durham,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735,03824,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,3,15,61,false,United States,VA,US,16549,-77.18466128362522,38.812848201996935,Auntie Te's Consignment Boutique,4ef0b72a61afc4dca7b631c2,Annandale,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Thrift / Vintage,Thrift / Vintage Stores,Thrift / Vintage Store,4bf58dd8d48988d101951735,22003,true,,,http://www.auntietes.com
v-1462919100,1,17,257,false,United States,TX,US,41085,-97.1570348739624,32.810217408750574,Tesco Park,4c448941f0bdd13a2db4c9cc,Hurst,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,Parks,Park,4bf58dd8d48988d163941735,76053,,,,
v-1462919100,1,17,257,false,United States,TX,US,8402,-97.1570348739624,32.810217408750574,Tesco Park,4c448941f0bdd13a2db4c9cc,Hurst,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,Parks,Park,4bf58dd8d48988d163941735,76053,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,2,3,false,United States,Illinois,US,29508,-87.998277,41.914686,Tesco Construction, Inc,4e172d5845ddc623eb0ffd7c,Elgin,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,60123,,,,
v-1462919100,,9,30,false,United States,IL,US,51454,-88.32238162512421,42.07327735431098,CFM / VR - TESCO LLC.,4d97993461a3a1cdfae6b942,,,,,,,,,,,,,
v-1462919100,0,1,1,false,United States,NE,US,56767,-96.107091,41.224204,Tesco Productions,538a8876498e7b711dd51906,Omaha,,,,,,,,,,,,
v-1462919100,1,17,257,false,United States,TX,US,41219,-97.1570348739624,32.810217408750574,Tesco Park,4c448941f0bdd13a2db4c9cc,Hurst,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,Parks,Park,4bf58dd8d48988d163941735,76053,,,,
v-1462919100,1,17,257,false,United States,TX,US,44594,-97.1570348739624,32.810217408750574,Tesco Park,4c448941f0bdd13a2db4c9cc,Hurst,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,Parks,Park,4bf58dd8d48988d163941735,76053,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,2,5,false,United States,OK,US,11935,-95.881838,36.097842,Tescorp,4e80fa73775bc7f87e613d8b,Tulsa,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,3,3,false,United States,FL,US,51706,-80.27549886,26.19339441,Tesco,4e7b28f3d22df7b34500078b,Coral Springs,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,33065,,,,
v-1462919100,0,2,3,false,United States,Illinois,US,30758,-87.998277,41.914686,Tesco Construction, Inc,4e172d5845ddc623eb0ffd7c,Elgin,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,60123,,,,
v-1462919100,,9,30,false,United States,IL,US,61205,-88.32238162512421,42.07327735431098,CFM / VR - TESCO LLC.,4d97993461a3a1cdfae6b942,,,,,,,,,,,,,
v-1462919100,0,3,3,false,United States,CA,US,9258,-122.03663995057478,37.396650421214815,Enplas Tesco,4c6ae09c9c76d13a5f3b4d0f,Sunnyvale,,,,,,,,94085,,,,
v-1462919100,0,1,1,false,United States,CA,US,2870,-118.1255111694336,33.79583740234375,Tescoflex Service Pedestal,4f24ce86e4b0eec7fe9e5f87,Long Beach,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/default_,Travel,General Travel,General Travel,4bf58dd8d48988d1f6931735,90815,,40939476,,
v-1462919100,,2,2,true,United States,CA,US,36017,-118.33371877670287,34.065387643178276,Tesco Demo Day,509a2c2645b0468c1dcb353a,Los Angeles,true,.png,https://ss3.4sqi.net/img/categories_v2/building/eventspace_,Event Space,Event Spaces,Event Space,4bf58dd8d48988d171941735,90020,,,,
v-1462919100,0,2,2,true,United States,CA,US,8663,-118.33371877670287,34.065387643178276,Tesco Demo Day,509a2c2645b0468c1dcb353a,Los Angeles,true,.png,https://ss3.4sqi.net/img/categories_v2/building/eventspace_,Event Space,Event Spaces,Event Space,4bf58dd8d48988d171941735,90020,,40939476,,
v-1462919100,,1,1,false,United States,CA,US,31249,-118.1255111694336,33.79583740234375,Tescoflex Service Pedestal,4f24ce86e4b0eec7fe9e5f87,Long Beach,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/default_,Travel,General Travel,General Travel,4bf58dd8d48988d1f6931735,90815,,,,
v-1462919100,0,1,1,false,United States,CA,US,36622,-118.1255111694336,33.79583740234375,Tescoflex Service Pedestal,4f24ce86e4b0eec7fe9e5f87,Long Beach,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/default_,Travel,General Travel,General Travel,4bf58dd8d48988d1f6931735,90815,,40939476,,
v-1462919100,,2,2,true,United States,CA,US,68915,-118.33371877670287,34.065387643178276,Tesco Demo Day,509a2c2645b0468c1dcb353a,Los Angeles,true,.png,https://ss3.4sqi.net/img/categories_v2/building/eventspace_,Event Space,Event Spaces,Event Space,4bf58dd8d48988d171941735,90020,,,,
v-1462919100,,1,1,false,United States,CA,US,87898,-117.080225,33.121009,AT&T Escondido C/O,53690747498ea3276b7c857e,Escondido,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,6,43,false,United States,OH,US,11172,-83.41673709969503,41.637549541180185,TESCO,4e12aaf5aeb74afe60c867b8,Oregon,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,43616,true,,,
v-1462919100,,2,2,false,United States,OH,US,9518,-83.43560457229614,41.65218445529102,Trans. Equip. Sales Corp. (TESCO),508a515345b0fe24f7a6c646,Oregon,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,,true,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,5,5,false,United States,TX,US,41888,-95.354928,29.903369,Tesco Auto Parts,50ba34afe4b0cfba2c4e896a,Houston,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,77039,true,,,
v-1462919100,,22,48,false,United States,TX,US,58376,-95.56380197626954,29.826817787024932,Tesco,4e09ebc11838eb15af12aad1,Houston,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,77041,,,,
v-1462919100,,7,10,false,United States,TX,US,60075,-95.57734031055891,29.84584784064318,Tesco,4d923d2afa1ef04d243f53c7,Houston,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,,,,,
v-1462919100,,1,1,false,United States,TX,US,58395,-95.564109,29.82635,Tesco Corporation,556f3896498edcd1b58d7aea,Houston,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,7,641,false,United States,MA,US,94271,-71.4507644910715,42.686026659765936,Tesco Associates,4c10f9ac6b7e2d7f17702835,Tyngsboro,true,.png,https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_,Coworking Space,Coworking Spaces,Coworking Space,4bf58dd8d48988d174941735,01879,,,,
v-1462919100,0,0,0,false,United States,NY,US,104571,-78.858643,42.958653,Tesco,4d16b58bcc216ea8d18c6ad3,Buffalo,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/karaoke_,Karaoke,Karaoke Bars,Karaoke Bar,4bf58dd8d48988d120941735,14217,true,,,
v-1462919100,0,6,43,false,United States,OH,US,88299,-83.41673709969503,41.637549541180185,TESCO,4e12aaf5aeb74afe60c867b8,Oregon,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,43616,true,,,
v-1462919100,,2,2,false,United States,OH,US,86755,-83.43560457229614,41.65218445529102,Trans. Equip. Sales Corp. (TESCO),508a515345b0fe24f7a6c646,Oregon,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,,true,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,2,48,false,United States,CA,US,8524,-121.4682,38.50344,Tesco Controls, Inc.,4b97e269f964a5209a1c35e3,Sacramento,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/technology_,Electronics,Electronics Stores,Electronics Store,4bf58dd8d48988d122951735,95823,true,,at Franklin Blvd.,
v-1462919100,,9,22,false,United States,CA,US,11740,-121.39386806062294,38.49295822785601,Tesco Controls Inc.,4c49b1326594be9a31886c25,Sacramento,,,,,,,,95828,,,,
v-1462919100,0,11,27,false,United States,NY,US,34669,-73.86803952474331,40.90404108947039,Tesco,5018a021e4b0450cfcdda0d9,Yonkers,true,.png,https://ss3.4sqi.net/img/categories_v2/food/deli_,Deli / Bodega,Delis / Bodegas,Deli / Bodega,4bf58dd8d48988d146941735,10704,true,,,
v-1462919100,,1,1,false,United States,NY,US,52478,-73.861884,41.116191,KBANK@Tesco Lotus Sukapiban 3,4ca584fab7106dcb9a6b55a5,Meenburee,,,,,,,,10510,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
v-1462919100,0,2,3,false,United States,TX,US,3578,-99.73079681396484,32.46083068847656,Tesco,4e57c3b5d16491e0ae4da498,Abilene,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/hardware_,Hardware,Hardware Stores,Hardware Store,4bf58dd8d48988d112951735,79601,true,,,
v-1462919100,0,2,2,true,United States,CA,US,48508,-118.33371877670287,34.065387643178276,Tesco Demo Day,509a2c2645b0468c1dcb353a,Los Angeles,true,.png,https://ss3.4sqi.net/img/categories_v2/building/eventspace_,Event Space,Event Spaces,Event Space,4bf58dd8d48988d171941735,90020,,40939476,,
v-1462919100,,1,1,false,United States,CA,US,77637,-118.1255111694336,33.79583740234375,Tescoflex Service Pedestal,4f24ce86e4b0eec7fe9e5f87,Long Beach,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/default_,Travel,General Travel,General Travel,4bf58dd8d48988d1f6931735,90815,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,